Organism	Common Name	Short Name	Total # of Genes
Prunus persica	peach	PRUPE	26645
Sus scrofa	pig	PIG	22162
Trichoplax adhaerens	placozoan	TRIAD	11518
Yersinia pestis	plague bacteria	YERPE	3907
Rhodopirellula baltica	planctomycetes bacteria	RHOBA	7271
Ornithorhynchus anatinus	platypus	ORNAN	17389
Solanum tuberosum	potato	SOLTU	38823
Brachypodium distachyon	purple false brome	BRADI	34230
Rattus norvegicus	rat	RAT	21585
Tribolium castaneum	red flour beetle	TRICA	16568
Oryza sativa	rice	ORYSJ	43658
Nelumbo nucifera	sacred lotus	NELNU	23876
Salmonella typhimurium	salmonella	SALTY	4533
Ciona intestinalis	sea squirt	CIOIN	16678
Strongylocentrotus purpuratus	sea urchin	STRPU	26458
Shewanella oneidensis	shewanella	SHEON	4068
Dictyostelium discoideum	slime mold	DICDI	12728
Dictyostelium purpureum	slime mold	DICPU	12347
Sorghum bicolor	sorghum	SORBI	33714
Glycine max	soybean	SOYBN	55853
Selaginella moellendorffii	spikemoss	SELML	33117
Spinacia oleracea	spinach	SPIOL	21489
Leptospira interrogans	spirochaetes bacteria	LEPIN	3676
Monosiga brevicollis	sponge	MONBE	9187
lepisosteus oculatus	spotted gar	LEPOC	18320
Staphylococcus aureus	staph	STAA8	2889
Streptococcus pneumoniae	strep	STRR6	2030
Arabidopsis thaliana	thale cress	ARATH	27430
Nitrosopumilus maritimus	thaumarchaea	NITMS	1795
Thermotoga maritima	thermotogae bacteria	THEMA	1852
Ixodes scapularis	tick	IXOSC	20487
Nicotiana tabacum	tobacco	TOBAC	61314
Solanum lycopersicum	tomato	SOLLC	34652
Gossypium hirsutum	upland cotton	GOSHI	60410
Daphnia pulex	water_flea	DAPPU	30047
Triticum aestivum	wheat	WHEAT	103263
Xanthomonas campestris	xanthomonas	XANCP	4104
Erythranthe guttata	yellow monkey flower	ERYGU	27391
Danio rerio	zebrafish	DANRE	25704
